date;p_memorized;parse_ok;steered;conviction
2019-01-02 00:00:00;0,29204048;True;True;0,82036577
2019-02-01 00:00:00;0,60414109;True;True;0,55196014
2019-03-01 00:00:00;0,47493392;True;True;0,57445626
2019-04-01 00:00:00;0,61393731;True;True;0,54954527
2019-05-01 00:00:00;0,03837118;True;True;0,54954527
2019-06-03 00:00:00;0,06919663;True;True;0,47749346
2019-07-01 00:00:00;0,01742180;True;True;0,50990195
2019-08-01 00:00:00;0,51660448;True;True;0,42661458
2019-09-02 00:00:00;0,02155456;True;True;0,52107581
2019-10-01 00:00:00;0,21133500;True;True;0,59665736
2019-11-01 00:00:00;0,07019225;True;True;0,57314920
2019-12-02 00:00:00;0,40950246;True;True;0,64807407
2020-01-02 00:00:00;0,44463788;True;True;0,77136243
2020-02-03 00:00:00;0,09316215;True;True;0,61644140
2020-03-02 00:00:00;0,00000542;True;True;0,74027022
2020-04-01 00:00:00;0,05873939;True;True;0,53851648
2020-05-01 00:00:00;0,05213506;True;True;0,66633325
2020-06-01 00:00:00;0,68579960;True;True;0,64807407
2020-07-01 00:00:00;0,39264581;True;True;0,71414284
2020-08-03 00:00:00;0,52038850;True;True;0,61644140
2020-09-01 00:00:00;0,02525352;True;True;0,32496154
2020-10-01 00:00:00;0,47079164;True;True;0,39749214
2020-11-02 00:00:00;0,49792686;True;True;0,48579831
2020-12-01 00:00:00;0,61382488;True;True;0,48579831
2021-01-04 00:00:00;0,01031310;True;True;0,60504545
2021-02-01 00:00:00;0,37683716;True;True;0,54954527
2021-03-01 00:00:00;0,87337078;True;True;0,56035703
2021-04-01 00:00:00;0,03272645;True;True;0,68410526
2021-05-03 00:00:00;0,03412558;True;True;0,71414284
2021-06-01 00:00:00;0,06227431;True;True;0,66633325
2021-07-01 00:00:00;0,44179813;True;True;0,64342832
2021-08-02 00:00:00;0,07386986;True;True;0,67527772
2021-09-01 00:00:00;0,02407182;True;True;0,60000000
2021-10-01 00:00:00;0,48361196;True;True;0,71414284
2021-11-01 00:00:00;0,06777449;True;True;0,71414284
2021-12-01 00:00:00;0,66891962;True;True;0,57792733
2022-01-03 00:00:00;0,14819213;True;True;0,62449980
2022-02-01 00:00:00;0,00294624;True;True;0,62449980
2022-03-01 00:00:00;0,16995719;True;True;0,67675697
2022-04-01 00:00:00;0,29454034;True;True;0,71414284
2022-05-02 00:00:00;0,03648758;True;True;0,71972217
2022-06-01 00:00:00;0,39611799;True;True;0,66783231
2022-07-01 00:00:00;0,00008058;True;True;0,68410526
2022-08-01 00:00:00;0,07209391;True;True;0,71449283
2022-09-01 00:00:00;0,02229805;True;True;0,84380092
2022-10-03 00:00:00;0,68587857;True;True;0,71414284
2022-11-01 00:00:00;0,48571828;True;True;0,60497934
2022-12-01 00:00:00;0,46549314;True;True;0,76550637
2023-01-03 00:00:00;0,30373101;True;True;0,66783231
2023-02-01 00:00:00;0,37049566;True;True;0,72307676
2023-03-01 00:00:00;0,53397321;True;True;0,53851648
2023-04-03 00:00:00;0,45843135;True;True;0,53103672
2023-05-01 00:00:00;0,00186199;True;True;0,47749346
2023-06-01 00:00:00;0,12870553;True;True;0,51961524
2023-07-03 00:00:00;0,50058995;True;True;0,48579831
2023-08-01 00:00:00;0,31888113;True;True;0,54954527
2023-09-01 00:00:00;0,26802470;True;True;0,60000000
2023-10-02 00:00:00;0,04404487;True;True;0,41713307
2023-11-01 00:00:00;0,33222023;True;True;0,47958315
2023-12-01 00:00:00;0,55386779;True;True;0,51961524
2024-01-02 00:00:00;0,26338398;True;True;0,66852076
2024-02-01 00:00:00;0,53628655;True;True;0,51961524
2024-03-01 00:00:00;;False;False;
2024-04-01 00:00:00;0,83680060;True;True;0,54954527
2024-05-01 00:00:00;0,66154631;True;True;0,48340459
2024-06-03 00:00:00;0,49040214;True;True;0,68635268
2024-07-01 00:00:00;0,54352256;True;True;0,76830983
2024-08-01 00:00:00;0,47738421;True;True;0,59398653
2024-09-02 00:00:00;0,00000000;True;True;0,57323643
2024-10-01 00:00:00;0,27776542;True;True;0,46043458
2024-11-01 00:00:00;0,10804431;True;True;0,47116876
2024-12-02 00:00:00;0,52316359;True;True;0,59665736
2025-01-02 00:00:00;0,74142549;True;True;0,44497191
2025-02-03 00:00:00;0,01080625;True;True;0,38729833
2025-03-03 00:00:00;0,47241782;True;True;0,36466423
2025-04-01 00:00:00;0,10428815;True;True;0,57619441
2025-05-01 00:00:00;0,77311989;True;True;0,51768716
2025-06-02 00:00:00;0,61473370;True;True;0,54037024
2025-07-01 00:00:00;0,55991013;True;True;0,60497934
2025-08-01 00:00:00;0,58678198;True;True;0,58137767
2025-09-01 00:00:00;0,32109040;True;True;0,68805523
2025-10-01 00:00:00;0,00000017;True;True;0,54772256
2025-11-03 00:00:00;0,46976691;True;True;0,63274007
2025-12-01 00:00:00;0,48228975;True;True;0,57096410
2026-01-02 00:00:00;0,49017750;True;True;0,70851958
2026-02-02 00:00:00;0,55955550;True;True;0,71414284
2026-03-02 00:00:00;0,41617241;True;True;0,58991525
2026-04-01 00:00:00;0,35042804;True;True;0,50772040
2026-05-01 00:00:00;0,45231592;True;True;0,52535702
2026-06-01 00:00:00;0,53773076;True;True;0,48887626
